Start Date,End Date,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths,latitude,longitude
01/01/2020,04/02/2022,Hawaii,Male,18-29 years,13.0,260.0,0.0,0.0,19.898682,-155.665857
01/01/2020,04/02/2022,Hawaii,Male,30-39 years,29.0,438.0,27.0,0.0,19.898682,-155.665857
01/01/2020,04/02/2022,Hawaii,Male,40-49 years,52.0,698.0,53.0,0.0,19.898682,-155.665857
01/01/2020,04/02/2022,Hawaii,Male,50-64 years,200.0,2784.0,210.0,0.0,19.898682,-155.665857
01/01/2020,04/02/2022,Hawaii,Male,65-74 years,208.0,3433.0,291.0,0.0,19.898682,-155.665857
01/01/2020,04/02/2022,Hawaii,Male,75-84 years,163.0,3405.0,303.0,0.0,19.898682,-155.665857
01/01/2020,04/02/2022,Hawaii,Male,85 years and over,146.0,3891.0,375.0,0.0,19.898682,-155.665857
01/01/2020,04/02/2022,Hawaii,Female,All Ages,535.0,12772.0,908.0,10.0,19.898682,-155.665857
01/01/2020,04/02/2022,Hawaii,Female,Under 1 year,0.0,69.0,0.0,0.0,19.898682,-155.665857
01/01/2020,04/02/2022,Hawaii,Female,0-17 years,0.0,98.0,0.0,0.0,19.898682,-155.665857
01/01/2020,04/02/2022,Hawaii,Female,18-29 years,0.0,103.0,0.0,0.0,19.898682,-155.665857
01/01/2020,04/02/2022,Hawaii,Female,30-39 years,15.0,168.0,11.0,0.0,19.898682,-155.665857
01/01/2020,04/02/2022,Hawaii,Female,40-49 years,32.0,338.0,24.0,0.0,19.898682,-155.665857
01/01/2020,04/02/2022,Hawaii,Female,50-64 years,116.0,1520.0,145.0,0.0,19.898682,-155.665857
01/01/2020,04/02/2022,Hawaii,Female,65-74 years,124.0,2058.0,165.0,0.0,19.898682,-155.665857
01/01/2020,04/02/2022,Hawaii,Female,75-84 years,88.0,2589.0,176.0,0.0,19.898682,-155.665857
01/01/2020,04/02/2022,Hawaii,Female,85 years and over,154.0,5898.0,376.0,0.0,19.898682,-155.665857
01/01/2020,04/02/2022,Idaho,Male,All Ages,2892.0,20815.0,2203.0,25.0,44.068202,-114.742041
01/01/2020,04/02/2022,Idaho,Male,Under 1 year,0.0,106.0,0.0,0.0,44.068202,-114.742041
01/01/2020,04/02/2022,Idaho,Male,0-17 years,0.0,245.0,0.0,0.0,44.068202,-114.742041
01/01/2020,04/02/2022,Idaho,Male,18-29 years,14.0,499.0,0.0,0.0,44.068202,-114.742041
